"","x"
"452","ENSG00000132341"
"453","ENSG00000113758"
"454","ENSG00000068078"
"455","ENSG00000123064"
"456","ENSG00000239887"
"457","ENSG00000146242"
"458","ENSG00000175792"
"459","ENSG00000104964"
"460","ENSG00000160949"
"461","ENSG00000067082"
"462","ENSG00000124225"
"463","ENSG00000051596"
"464","ENSG00000013306"
"465","ENSG00000109971"
"466","ENSG00000167508"
"467","ENSG00000095906"
"468","ENSG00000136883"
"469","ENSG00000115685"
"470","ENSG00000121454"
"471","ENSG00000172115"
"472","ENSG00000213977"
"473","ENSG00000173467"
"474","ENSG00000088247"
"475","ENSG00000161179"
"476","ENSG00000167986"
"477","ENSG00000230043"
"478","ENSG00000276043"
"479","ENSG00000218426"
"480","ENSG00000135454"
"481","ENSG00000186283"
"482","ENSG00000171587"
"483","ENSG00000112183"
"484","ENSG00000176720"
"485","ENSG00000110107"
"486","ENSG00000066629"
"487","ENSG00000092841"
"488","ENSG00000135596"
"489","ENSG00000281434"
"490","ENSG00000108604"
"491","ENSG00000136875"
"492","ENSG00000163931"
"493","ENSG00000142669"
"494","ENSG00000165704"
"495","ENSG00000138821"
"496","ENSG00000089356"
"497","ENSG00000185787"
"498","ENSG00000131876"
"499","ENSG00000102144"
"500","ENSG00000145217"
"501","ENSG00000125835"
"502","ENSG00000074181"
"503","ENSG00000196305"
"504","ENSG00000196531"
"505","ENSG00000092621"
"506","ENSG00000172794"
"507","ENSG00000145349"
"508","ENSG00000160991"
"509","ENSG00000114054"
"510","ENSG00000136950"
"511","ENSG00000141378"
"512","ENSG00000171206"
"513","ENSG00000198498"
"514","ENSG00000115053"
"515","ENSG00000187109"
"516","ENSG00000205937"
"517","ENSG00000126457"
"518","ENSG00000180776"
"519","ENSG00000102119"
"520","ENSG00000113161"
"521","ENSG00000108588"
"522","ENSG00000183258"
"523","ENSG00000063245"
"524","ENSG00000148335"
"525","ENSG00000166068"
"526","ENSG00000168101"
"527","ENSG00000051523"
"528","ENSG00000172809"
"529","ENSG00000173113"
"530","ENSG00000132510"
"531","ENSG00000123353"
"532","ENSG00000106948"
"533","ENSG00000180198"
"534","ENSG00000105671"
"535","ENSG00000112081"
"536","ENSG00000163879"
"537","ENSG00000010278"
"538","ENSG00000179041"
"539","ENSG00000168453"
"540","ENSG00000161203"
"541","ENSG00000136848"
"542","ENSG00000134684"
"543","ENSG00000119487"
"544","ENSG00000156471"
"545","ENSG00000108932"
"546","ENSG00000079616"
"547","ENSG00000074416"
"548","ENSG00000282019"
"549","ENSG00000122783"
"550","ENSG00000092929"
"551","ENSG00000039523"
"552","ENSG00000124831"
"553","ENSG00000127527"
"554","ENSG00000108679"
"555","ENSG00000160446"
"556","ENSG00000223657"
"557","ENSG00000108671"
"558","ENSG00000168000"
"559","ENSG00000112576"
"560","ENSG00000174231"
"561","ENSG00000132024"
"562","ENSG00000225630"
"563","ENSG00000171314"
"564","ENSG00000165280"
"565","ENSG00000108262"
"566","ENSG00000182551"
"567","ENSG00000126456"
"568","ENSG00000130821"
"569","ENSG00000133119"
"570","ENSG00000167721"
"571","ENSG00000150457"
"572","ENSG00000179151"
"573","ENSG00000072062"
"574","ENSG00000123297"
"575","ENSG00000224156"
"576","ENSG00000196365"
"577","ENSG00000198890"
"578","ENSG00000048162"
"579","ENSG00000254087"
"580","ENSG00000274636"
"581","ENSG00000101182"
"582","ENSG00000274538"
"583","ENSG00000108106"
"584","ENSG00000263290"
"585","ENSG00000167978"
"586","ENSG00000146834"
"587","ENSG00000119318"
"588","ENSG00000167470"
"589","ENSG00000148840"
"590","ENSG00000100591"
"591","ENSG00000116698"
"592","ENSG00000123989"
"593","ENSG00000239306"
"594","ENSG00000173457"
"595","ENSG00000171522"
"596","ENSG00000163636"
"597","ENSG00000108829"
"598","ENSG00000120705"
"599","ENSG00000158864"
"600","ENSG00000070814"
"601","ENSG00000163466"
"602","ENSG00000099341"
"603","ENSG00000119383"
"604","ENSG00000085872"
"605","ENSG00000137710"
"606","ENSG00000146670"
"607","ENSG00000111667"
"608","ENSG00000243279"
"609","ENSG00000176619"
"610","ENSG00000213937"
"611","ENSG00000103653"
"612","ENSG00000009830"
"613","ENSG00000137547"
"614","ENSG00000160972"
"615","ENSG00000111716"
"616","ENSG00000141456"
"617","ENSG00000185122"
"618","ENSG00000058262"
"619","ENSG00000160957"
"620","ENSG00000180530"
"621","ENSG00000166965"
"622","ENSG00000135392"
"623","ENSG00000103544"
"624","ENSG00000173020"
"625","ENSG00000169221"
"626","ENSG00000113368"
"627","ENSG00000100823"
"628","ENSG00000173801"
"629","ENSG00000145247"
"630","ENSG00000139842"
"631","ENSG00000174748"
"632","ENSG00000145451"
"633","ENSG00000178372"
"634","ENSG00000186676"
"635","ENSG00000073350"
"636","ENSG00000146083"
"637","ENSG00000099817"
"638","ENSG00000181061"
"639","ENSG00000080603"
"640","ENSG00000134769"
"641","ENSG00000137409"
"642","ENSG00000164920"
"643","ENSG00000004142"
"644","ENSG00000077942"
"645","ENSG00000164818"
"646","ENSG00000136527"
"647","ENSG00000172201"
"648","ENSG00000112578"
"649","ENSG00000142327"
"650","ENSG00000184640"
"651","ENSG00000106348"
"652","ENSG00000138594"
"653","ENSG00000149792"
"654","ENSG00000237984"
"655","ENSG00000125968"
"656","ENSG00000186063"
"657","ENSG00000003137"
"658","ENSG00000069849"
"659","ENSG00000100926"
"660","ENSG00000130204"
"661","ENSG00000096060"
"662","ENSG00000022267"
"663","ENSG00000109736"
"664","ENSG00000196591"
"665","ENSG00000278183"
"666","ENSG00000123992"
"667","ENSG00000113013"
"668","ENSG00000096746"
"669","ENSG00000231945"
"670","ENSG00000130706"
"671","ENSG00000213903"
"672","ENSG00000008018"
"673","ENSG00000103067"
"674","ENSG00000111540"
"675","ENSG00000103148"
"676","ENSG00000132613"
"677","ENSG00000105364"
"678","ENSG00000105887"
"679","ENSG00000168264"
"680","ENSG00000141543"
"681","ENSG00000121361"
"682","ENSG00000164976"
"683","ENSG00000177700"
"684","ENSG00000167900"
"685","ENSG00000161981"
"686","ENSG00000173141"
"687","ENSG00000164114"
"688","ENSG00000167702"
"689","ENSG00000176087"
"690","ENSG00000148672"
"691","ENSG00000175756"
"692","ENSG00000053372"
"693","ENSG00000127418"
"694","ENSG00000124126"
"695","ENSG00000165283"
"696","ENSG00000173327"
"697","ENSG00000197249"
"698","ENSG00000134533"
"699","ENSG00000056972"
"700","ENSG00000100726"
"701","ENSG00000172780"
"702","ENSG00000185818"
"703","ENSG00000135643"
"704","ENSG00000172936"
"705","ENSG00000163040"
"706","ENSG00000163362"
"707","ENSG00000164742"
"708","ENSG00000138031"
"709","ENSG00000248527"
"710","ENSG00000137166"
"711","ENSG00000125868"
"712","ENSG00000214263"
"713","ENSG00000151012"
"714","ENSG00000198682"
"715","ENSG00000129038"
