"","x"
"386","ENST00000415868"
"387","ENST00000368465"
"388","ENST00000440111"
"389","ENST00000359236"
"390","ENST00000264710"
"391","ENST00000257663"
"392","ENST00000371917"
"393","ENST00000395566"
"394","ENST00000269214"
"395","ENST00000228280"
"396","ENST00000298119"
"397","ENST00000297293"
"398","ENST00000457054"
"399","ENST00000507224"
"400","ENST00000519656"
"401","ENST00000510362"
"402","ENST00000356056"
"403","ENST00000373625"
"404","ENST00000482325"
"405","ENST00000264447"
"406","ENST00000617290"
"407","ENST00000465184"
"408","ENST00000405409"
"409","ENST00000536368"
"410","ENST00000427152"
"411","ENST00000495893"
"412","ENST00000359634"
"413","ENST00000469584"
"414","ENST00000614986"
"415","ENST00000586722"
"416","ENST00000554401"
"417","ENST00000234453"
"418","ENST00000530225"
"419","ENST00000186436"
"420","ENST00000262077"
"421","ENST00000368222"
"422","ENST00000399075"
"423","ENST00000422805"
"424","ENST00000455743"
"425","ENST00000377351"
"426","ENST00000308488"
"427","ENST00000437131"
"428","ENST00000409299"
"429","ENST00000215882"
"430","ENST00000529905"
"431","ENST00000620785"
"432","ENST00000420470"
"433","ENST00000295025"
"434","ENST00000356956"
"435","ENST00000409614"
"436","ENST00000547276"
"437","ENST00000238633"
"438","ENST00000296161"
"439","ENST00000519253"
"440","ENST00000369301"
"441","ENST00000265073"
"442","ENST00000513269"
"443","ENST00000356805"
"444","ENST00000553957"
"445","ENST00000431932"
"446","ENST00000294383"
"447","ENST00000263045"
"448","ENST00000418381"
"449","ENST00000427704"
"450","ENST00000323076"
"451","ENST00000300291"
"452","ENST00000525132"
"453","ENST00000310015"
"454","ENST00000283195"
"455","ENST00000397487"
"456","ENST00000530564"
"457","ENST00000325722"
"458","ENST00000439190"
"459","ENST00000380746"
"460","ENST00000367589"
"461","ENST00000356825"
"462","ENST00000265758"
"463","ENST00000584583"
"464","ENST00000491737"
"465","ENST00000239944"
"466","ENST00000285039"
"467","ENST00000463374"
"468","ENST00000332127"
"469","ENST00000393800"
"470","ENST00000371157"
"471","ENST00000421834"
"472","ENST00000504293"
"473","ENST00000623213"
"474","ENST00000040738"
"475","ENST00000427512"
"476","ENST00000264221"
"477","ENST00000372775"
"478","ENST00000304164"
"479","ENST00000536444"
"480","ENST00000395425"
"481","ENST00000299633"
"482","ENST00000247178"
"483","ENST00000441322"
"484","ENST00000601538"
"485","ENST00000318348"
"486","ENST00000614891"
"487","ENST00000519472"
"488","ENST00000322348"
"489","ENST00000522502"
"490","ENST00000376573"
"491","ENST00000454652"
"492","ENST00000263102"
"493","ENST00000423209"
"494","ENST00000457153"
"495","ENST00000317178"
"496","ENST00000281741"
"497","ENST00000367590"
"498","ENST00000345317"
"499","ENST00000238831"
"500","ENST00000489219"
"501","ENST00000357430"
"502","ENST00000379388"
"503","ENST00000414108"
"504","ENST00000432564"
"505","ENST00000611208"
"506","ENST00000432525"
"507","ENST00000392789"
"508","ENST00000590108"
"509","ENST00000396128"
"510","ENST00000468812"
"511","ENST00000470054"
"512","ENST00000555868"
"513","ENST00000539256"
"514","ENST00000410036"
"515","ENST00000272748"
"516","ENST00000482596"
"517","ENST00000479199"
"518","ENST00000615245"
"519","ENST00000361060"
"520","ENST00000239374"
"521","ENST00000356321"
"522","ENST00000381733"
"523","ENST00000434505"
"524","ENST00000358465"
"525","ENST00000357387"
"526","ENST00000270233"
"527","ENST00000423484"
"528","ENST00000480824"
"529","ENST00000613174"
"530","ENST00000542977"
"531","ENST00000430838"
"532","ENST00000318709"
"533","ENST00000394609"
"534","ENST00000336596"
"535","ENST00000508237"
"536","ENST00000467816"
"537","ENST00000263635"
"538","ENST00000441564"
"539","ENST00000277225"
"540","ENST00000296511"
"541","ENST00000358100"
"542","ENST00000395390"
"543","ENST00000354906"
"544","ENST00000409567"
"545","ENST00000556438"
"546","ENST00000525842"
"547","ENST00000338702"
"548","ENST00000260970"
"549","ENST00000347982"
"550","ENST00000398868"
"551","ENST00000630000"
"552","ENST00000261636"
"553","ENST00000528296"
"554","ENST00000558134"
"555","ENST00000264380"
"556","ENST00000557060"
"557","ENST00000251081"
"558","ENST00000612161"
"559","ENST00000222120"
"560","ENST00000337907"
"561","ENST00000614911"
"562","ENST00000296252"
"563","ENST00000535302"
"564","ENST00000359303"
"565","ENST00000527580"
"566","ENST00000369426"
"567","ENST00000393695"
"568","ENST00000448864"
"569","ENST00000395938"
"570","ENST00000567300"
"571","ENST00000439590"
"572","ENST00000614778"
"573","ENST00000243501"
"574","ENST00000261353"
"575","ENST00000399218"
"576","ENST00000224140"
"577","ENST00000240499"
"578","ENST00000534029"
"579","ENST00000243300"
"580","ENST00000381990"
"581","ENST00000233612"
"582","ENST00000264605"
"583","ENST00000305747"
"584","ENST00000286067"
"585","ENST00000599056"
"586","ENST00000273398"
"587","ENST00000439109"
"588","ENST00000230792"
"589","ENST00000371591"
"590","ENST00000244040"
"591","ENST00000614247"
"592","ENST00000216484"
"593","ENST00000275418"
"594","ENST00000340353"
"595","ENST00000329516"
"596","ENST00000334660"
"597","ENST00000472484"
"598","ENST00000533926"
"599","ENST00000562753"
"600","ENST00000614987"
"601","ENST00000393784"
"602","ENST00000264265"
"603","ENST00000264896"
"604","ENST00000545075"
"605","ENST00000441123"
"606","ENST00000549559"
"607","ENST00000472398"
"608","ENST00000530028"
"609","ENST00000331426"
"610","ENST00000442697"
"611","ENST00000381151"
"612","ENST00000586594"
"613","ENST00000339438"
"614","ENST00000429938"
"615","ENST00000568475"
"616","ENST00000325212"
"617","ENST00000428443"
"618","ENST00000370857"
"619","ENST00000261839"
"620","ENST00000426828"
"621","ENST00000254958"
"622","ENST00000355968"
"623","ENST00000471855"
"624","ENST00000471834"
"625","ENST00000327569"
"626","ENST00000377625"
"627","ENST00000313833"
"628","ENST00000309955"
"629","ENST00000357578"
"630","ENST00000509708"
"631","ENST00000486313"
"632","ENST00000424123"
"633","ENST00000592702"
"634","ENST00000371873"
"635","ENST00000369443"
"636","ENST00000482587"
"637","ENST00000441070"
"638","ENST00000425361"
"639","ENST00000356950"
"640","ENST00000238682"
"641","ENST00000481341"
"642","ENST00000471112"
"643","ENST00000559471"
"644","ENST00000555447"
"645","ENST00000311160"
"646","ENST00000372967"
"647","ENST00000530660"
"648","ENST00000261435"
"649","ENST00000249636"
"650","ENST00000242351"
"651","ENST00000553458"
"652","ENST00000256497"
"653","ENST00000251038"
"654","ENST00000290795"
"655","ENST00000259053"
"656","ENST00000322209"
"657","ENST00000372714"
"658","ENST00000371579"
"659","ENST00000371348"
"660","ENST00000232424"
"661","ENST00000369483"
"662","ENST00000251810"
"663","ENST00000366862"
"664","ENST00000548125"
"665","ENST00000566899"
"666","ENST00000440469"
"667","ENST00000369287"
"668","ENST00000606017"
"669","ENST00000336498"
"670","ENST00000484983"
"671","ENST00000341500"
"672","ENST00000310786"
"673","ENST00000629488"
"674","ENST00000506654"
"675","ENST00000272902"
"676","ENST00000366934"
"677","ENST00000549982"
"678","ENST00000360768"
"679","ENST00000620879"
"680","ENST00000480171"
"681","ENST00000312493"
"682","ENST00000311893"
"683","ENST00000559228"
"684","ENST00000307954"
"685","ENST00000531430"
"686","ENST00000338821"
"687","ENST00000503823"
"688","ENST00000433215"
"689","ENST00000393893"
"690","ENST00000509972"
"691","ENST00000368220"
"692","ENST00000324489"
"693","ENST00000507273"
"694","ENST00000299957"
"695","ENST00000539745"
"696","ENST00000314607"
"697","ENST00000267229"
"698","ENST00000543709"
"699","ENST00000369236"
"700","ENST00000262215"
"701","ENST00000622078"
"702","ENST00000522655"
"703","ENST00000272430"
"704","ENST00000309964"
"705","ENST00000392533"
"706","ENST00000370435"
"707","ENST00000290551"
"708","ENST00000435296"
"709","ENST00000539743"
"710","ENST00000458064"
"711","ENST00000373493"
"712","ENST00000538487"
"713","ENST00000369151"
"714","ENST00000511884"
"715","ENST00000370994"
"716","ENST00000514632"
"717","ENST00000377122"
"718","ENST00000311085"
"719","ENST00000413971"
"720","ENST00000377238"
"721","ENST00000437808"
"722","ENST00000275575"
"723","ENST00000316045"
"724","ENST00000558506"
"725","ENST00000334567"
"726","ENST00000394464"
"727","ENST00000482997"
"728","ENST00000554659"
"729","ENST00000502897"
"730","ENST00000321545"
"731","ENST00000306320"
"732","ENST00000394803"
"733","ENST00000372079"
