"","x"
"857","ENST00000537508"
"858","ENST00000454580"
"859","ENST00000262570"
"860","ENST00000455393"
"861","ENST00000380842"
"862","ENST00000618550"
"863","ENST00000374429"
"864","ENST00000547211"
"865","ENST00000291442"
"866","ENST00000547013"
"867","ENST00000261712"
"868","ENST00000466227"
"869","ENST00000328945"
"870","ENST00000399138"
"871","ENST00000368954"
"872","ENST00000324093"
"873","ENST00000584650"
"874","ENST00000366923"
"875","ENST00000388995"
"876","ENST00000499869"
"877","ENST00000337004"
"878","ENST00000225969"
"879","ENST00000339276"
"880","ENST00000373805"
"881","ENST00000579901"
"882","ENST00000540949"
"883","ENST00000457540"
"884","ENST00000324862"
"885","ENST00000283179"
"886","ENST00000375144"
"887","ENST00000380332"
"888","ENST00000405333"
"889","ENST00000597937"
"890","ENST00000418929"
"891","ENST00000367313"
"892","ENST00000253462"
"893","ENST00000605618"
"894","ENST00000354958"
"895","ENST00000301019"
"896","ENST00000354725"
"897","ENST00000258662"
"898","ENST00000377387"
"899","ENST00000602786"
"900","ENST00000469451"
"901","ENST00000232564"
"902","ENST00000482510"
"903","ENST00000279550"
"904","ENST00000620941"
"905","ENST00000581808"
"906","ENST00000548474"
"907","ENST00000565813"
"908","ENST00000300527"
"909","ENST00000359783"
"910","ENST00000292433"
"911","ENST00000369466"
"912","ENST00000322623"
"913","ENST00000371989"
"914","ENST00000326153"
"915","ENST00000591982"
"916","ENST00000545305"
"917","ENST00000354695"
"918","ENST00000515314"
"919","ENST00000587393"
"920","ENST00000529301"
"921","ENST00000463122"
"922","ENST00000586829"
"923","ENST00000367378"
"924","ENST00000209875"
"925","ENST00000428469"
"926","ENST00000589606"
"927","ENST00000548746"
"928","ENST00000352301"
"929","ENST00000216727"
"930","ENST00000257468"
"931","ENST00000425707"
"932","ENST00000361891"
"933","ENST00000563415"
"934","ENST00000553614"
"935","ENST00000219281"
"936","ENST00000586538"
"937","ENST00000375771"
"938","ENST00000513799"
"939","ENST00000442760"
"940","ENST00000612558"
"941","ENST00000476566"
"942","ENST00000505729"
"943","ENST00000361566"
"944","ENST00000535040"
"945","ENST00000218388"
"946","ENST00000229854"
"947","ENST00000344651"
"948","ENST00000469308"
"949","ENST00000461690"
"950","ENST00000546457"
"951","ENST00000446198"
"952","ENST00000398665"
"953","ENST00000590221"
"954","ENST00000333129"
"955","ENST00000546834"
"956","ENST00000373832"
"957","ENST00000467295"
"958","ENST00000482278"
"959","ENST00000397609"
"960","ENST00000422090"
"961","ENST00000524958"
"962","ENST00000247866"
"963","ENST00000231130"
"964","ENST00000462885"
"965","ENST00000407877"
"966","ENST00000572383"
"967","ENST00000448926"
"968","ENST00000550372"
"969","ENST00000574876"
"970","ENST00000310706"
"971","ENST00000377893"
"972","ENST00000438732"
"973","ENST00000602318"
"974","ENST00000522934"
"975","ENST00000589378"
"976","ENST00000415472"
"977","ENST00000442798"
"978","ENST00000529163"
"979","ENST00000356362"
"980","ENST00000378700"
"981","ENST00000553585"
"982","ENST00000551945"
"983","ENST00000369563"
"984","ENST00000462082"
"985","ENST00000455878"
"986","ENST00000225698"
"987","ENST00000301067"
"988","ENST00000577402"
"989","ENST00000592372"
"990","ENST00000520648"
"991","ENST00000329251"
"992","ENST00000496727"
"993","ENST00000336273"
"994","ENST00000399688"
"995","ENST00000311481"
"996","ENST00000470654"
"997","ENST00000193403"
"998","ENST00000463154"
"999","ENST00000219542"
"1000","ENST00000610634"
"1001","ENST00000246784"
"1002","ENST00000318631"
"1003","ENST00000262982"
"1004","ENST00000418476"
"1005","ENST00000507089"
"1006","ENST00000221576"
"1007","ENST00000261797"
"1008","ENST00000373316"
"1009","ENST00000576268"
"1010","ENST00000613839"
"1011","ENST00000394440"
"1012","ENST00000412051"
"1013","ENST00000592787"
"1014","ENST00000518297"
"1015","ENST00000450364"
"1016","ENST00000254351"
"1017","ENST00000471152"
"1018","ENST00000379789"
"1019","ENST00000545457"
"1020","ENST00000531647"
"1021","ENST00000378667"
"1022","ENST00000428459"
"1023","ENST00000438886"
"1024","ENST00000395659"
"1025","ENST00000458339"
"1026","ENST00000339526"
"1027","ENST00000292807"
"1028","ENST00000564794"
"1029","ENST00000373709"
"1030","ENST00000337815"
"1031","ENST00000453057"
"1032","ENST00000520969"
"1033","ENST00000477544"
"1034","ENST00000502307"
"1035","ENST00000456575"
"1036","ENST00000427721"
"1037","ENST00000368655"
"1038","ENST00000476434"
"1039","ENST00000487509"
"1040","ENST00000262631"
"1041","ENST00000508784"
"1042","ENST00000477593"
"1043","ENST00000564815"
"1044","ENST00000369109"
"1045","ENST00000361204"
"1046","ENST00000264059"
"1047","ENST00000449853"
"1048","ENST00000520547"
"1049","ENST00000360001"
"1050","ENST00000569696"
"1051","ENST00000311487"
"1052","ENST00000621096"
"1053","ENST00000396123"
"1054","ENST00000367202"
"1055","ENST00000520039"
"1056","ENST00000340855"
"1057","ENST00000374183"
"1058","ENST00000595022"
"1059","ENST00000322810"
"1060","ENST00000524228"
"1061","ENST00000356244"
"1062","ENST00000243045"
"1063","ENST00000320574"
"1064","ENST00000341744"
"1065","ENST00000350997"
"1066","ENST00000388837"
"1067","ENST00000338779"
"1068","ENST00000550639"
"1069","ENST00000219313"
"1070","ENST00000517970"
"1071","ENST00000569217"
"1072","ENST00000592041"
"1073","ENST00000372621"
"1074","ENST00000494699"
"1075","ENST00000372386"
"1076","ENST00000478470"
"1077","ENST00000552371"
"1078","ENST00000322611"
"1079","ENST00000014930"
"1080","ENST00000406567"
"1081","ENST00000380738"
"1082","ENST00000538427"
"1083","ENST00000567736"
"1084","ENST00000359943"
"1085","ENST00000503026"
"1086","ENST00000630839"
"1087","ENST00000361899"
"1088","ENST00000369085"
"1089","ENST00000372209"
"1090","ENST00000357429"
"1091","ENST00000432089"
"1092","ENST00000297625"
"1093","ENST00000355235"
"1094","ENST00000381652"
"1095","ENST00000527302"
"1096","ENST00000569925"
"1097","ENST00000541961"
"1098","ENST00000550479"
"1099","ENST00000559619"
"1100","ENST00000391770"
"1101","ENST00000443588"
"1102","ENST00000427894"
"1103","ENST00000328024"
"1104","ENST00000445755"
"1105","ENST00000378119"
"1106","ENST00000461733"
"1107","ENST00000548861"
"1108","ENST00000507798"
"1109","ENST00000371738"
"1110","ENST00000227520"
"1111","ENST00000583036"
"1112","ENST00000372481"
"1113","ENST00000485362"
"1114","ENST00000596655"
"1115","ENST00000397592"
"1116","ENST00000166139"
"1117","ENST00000567391"
"1118","ENST00000366535"
"1119","ENST00000548571"
"1120","ENST00000584320"
"1121","ENST00000374807"
"1122","ENST00000366621"
"1123","ENST00000248958"
"1124","ENST00000301634"
"1125","ENST00000337843"
"1126","ENST00000483804"
"1127","ENST00000630979"
"1128","ENST00000504902"
"1129","ENST00000444230"
"1130","ENST00000492245"
"1131","ENST00000416348"
"1132","ENST00000484532"
"1133","ENST00000368259"
"1134","ENST00000580380"
"1135","ENST00000515038"
"1136","ENST00000560609"
"1137","ENST00000447768"
"1138","ENST00000558570"
"1139","ENST00000334220"
"1140","ENST00000527432"
"1141","ENST00000449630"
"1142","ENST00000400331"
"1143","ENST00000309268"
"1144","ENST00000445323"
"1145","ENST00000342711"
"1146","ENST00000552150"
"1147","ENST00000596581"
"1148","ENST00000312841"
"1149","ENST00000601655"
"1150","ENST00000361217"
"1151","ENST00000373365"
"1152","ENST00000616261"
