"","x"
"415","ENSG00000086758"
"416","ENSG00000106052"
"417","ENSG00000266714"
"418","ENSG00000150867"
"419","ENSG00000116127"
"420","ENSG00000213614"
"421","ENSG00000104763"
"422","ENSG00000003436"
"423","ENSG00000104133"
"424","ENSG00000104447"
"425","ENSG00000077097"
"426","ENSG00000110367"
"427","ENSG00000155368"
"428","ENSG00000204128"
"429","ENSG00000204524"
"430","ENSG00000135211"
"431","ENSG00000091831"
"432","ENSG00000032219"
"433","ENSG00000196151"
"434","ENSG00000274070"
"435","ENSG00000110075"
"436","ENSG00000078114"
"437","ENSG00000134755"
"438","ENSG00000113387"
"439","ENSG00000143776"
"440","ENSG00000073803"
"441","ENSG00000066739"
"442","ENSG00000198743"
"443","ENSG00000196247"
"444","ENSG00000123572"
"445","ENSG00000164309"
"446","ENSG00000087086"
"447","ENSG00000132849"
"448","ENSG00000136560"
"449","ENSG00000124466"
"450","ENSG00000137942"
"451","ENSG00000144283"
"452","ENSG00000100129"
"453","ENSG00000083223"
"454","ENSG00000125148"
"455","ENSG00000114062"
"456","ENSG00000146648"
"457","ENSG00000166710"
"458","ENSG00000152443"
"459","ENSG00000165156"
"460","ENSG00000117335"
"461","ENSG00000079257"
"462","ENSG00000278637"
"463","ENSG00000138604"
"464","ENSG00000149177"
"465","ENSG00000277606"
"466","ENSG00000105514"
"467","ENSG00000197061"
"468","ENSG00000134716"
"469","ENSG00000159658"
"470","ENSG00000139220"
"471","ENSG00000123575"
"472","ENSG00000196511"
"473","ENSG00000135245"
"474","ENSG00000197081"
"475","ENSG00000234585"
"476","ENSG00000215030"
"477","ENSG00000075711"
"478","ENSG00000162600"
"479","ENSG00000189221"
"480","ENSG00000166377"
"481","ENSG00000100345"
"482","ENSG00000173889"
"483","ENSG00000111696"
"484","ENSG00000196935"
"485","ENSG00000127980"
"486","ENSG00000275714"
"487","ENSG00000068885"
"488","ENSG00000143376"
"489","ENSG00000170949"
"490","ENSG00000134318"
"491","ENSG00000109381"
"492","ENSG00000173175"
"493","ENSG00000101752"
"494","ENSG00000158301"
"495","ENSG00000170759"
"496","ENSG00000047410"
"497","ENSG00000146278"
"498","ENSG00000073921"
"499","ENSG00000163629"
"500","ENSG00000123607"
"501","ENSG00000189180"
"502","ENSG00000103534"
"503","ENSG00000030582"
"504","ENSG00000103485"
"505","ENSG00000188785"
"506","ENSG00000259479"
"507","ENSG00000136003"
"508","ENSG00000135535"
"509","ENSG00000143324"
"510","ENSG00000159388"
"511","ENSG00000108840"
"512","ENSG00000165240"
"513","ENSG00000172380"
"514","ENSG00000163635"
"515","ENSG00000278588"
"516","ENSG00000102910"
"517","ENSG00000066135"
"518","ENSG00000147852"
"519","ENSG00000114127"
"520","ENSG00000143416"
"521","ENSG00000205078"
"522","ENSG00000114315"
"523","ENSG00000163840"
"524","ENSG00000162378"
"525","ENSG00000196922"
"526","ENSG00000113580"
"527","ENSG00000175984"
"528","ENSG00000138398"
"529","ENSG00000132549"
"530","ENSG00000216490"
"531","ENSG00000198618"
"532","ENSG00000173480"
"533","ENSG00000063438"
"534","ENSG00000165813"
"535","ENSG00000088179"
"536","ENSG00000095951"
"537","ENSG00000130150"
"538","ENSG00000119801"
"539","ENSG00000147459"
"540","ENSG00000164961"
"541","ENSG00000169919"
"542","ENSG00000100359"
"543","ENSG00000198862"
"544","ENSG00000127990"
"545","ENSG00000101417"
"546","ENSG00000135837"
"547","ENSG00000112874"
"548","ENSG00000169118"
"549","ENSG00000065613"
"550","ENSG00000127481"
"551","ENSG00000197555"
"552","ENSG00000183354"
"553","ENSG00000108091"
"554","ENSG00000080345"
"555","ENSG00000184898"
"556","ENSG00000108510"
"557","ENSG00000092978"
"558","ENSG00000166510"
"559","ENSG00000196715"
"560","ENSG00000119906"
"561","ENSG00000075292"
"562","ENSG00000250722"
"563","ENSG00000156976"
"564","ENSG00000116209"
"565","ENSG00000159592"
"566","ENSG00000163346"
"567","ENSG00000139746"
"568","ENSG00000124486"
"569","ENSG00000173821"
"570","ENSG00000187210"
"571","ENSG00000197903"
"572","ENSG00000006576"
"573","ENSG00000123119"
"574","ENSG00000196917"
"575","ENSG00000139433"
"576","ENSG00000048392"
"577","ENSG00000172954"
"578","ENSG00000088538"
"579","ENSG00000197102"
"580","ENSG00000118898"
"581","ENSG00000196458"
"582","ENSG00000140199"
"583","ENSG00000083123"
"584","ENSG00000253882"
"585","ENSG00000174013"
"586","ENSG00000105176"
"587","ENSG00000173517"
"588","ENSG00000146729"
"589","ENSG00000100485"
"590","ENSG00000182400"
"591","ENSG00000073584"
"592","ENSG00000138688"
"593","ENSG00000277101"
"594","ENSG00000085871"
"595","ENSG00000103490"
"596","ENSG00000184349"
"597","ENSG00000100014"
"598","ENSG00000148143"
"599","ENSG00000270672"
"600","ENSG00000169967"
"601","ENSG00000172086"
"602","ENSG00000179454"
"603","ENSG00000145332"
"604","ENSG00000170185"
"605","ENSG00000077782"
"606","ENSG00000122779"
"607","ENSG00000049130"
"608","ENSG00000117139"
"609","ENSG00000113971"
"610","ENSG00000010017"
"611","ENSG00000273703"
"612","ENSG00000137845"
"613","ENSG00000157077"
"614","ENSG00000114861"
"615","ENSG00000141232"
"616","ENSG00000115084"
"617","ENSG00000030419"
"618","ENSG00000184384"
"619","ENSG00000238104"
"620","ENSG00000134982"
"621","ENSG00000101868"
"622","ENSG00000165272"
"623","ENSG00000278268"
"624","ENSG00000165494"
"625","ENSG00000100731"
"626","ENSG00000184203"
"627","ENSG00000058673"
"628","ENSG00000273656"
"629","ENSG00000004766"
"630","ENSG00000177144"
"631","ENSG00000102893"
"632","ENSG00000164684"
"633","ENSG00000198625"
"634","ENSG00000145725"
"635","ENSG00000124523"
"636","ENSG00000131378"
"637","ENSG00000169955"
"638","ENSG00000107897"
"639","ENSG00000234444"
"640","ENSG00000182919"
"641","ENSG00000178075"
"642","ENSG00000168288"
"643","ENSG00000237515"
"644","ENSG00000139354"
"645","ENSG00000131100"
"646","ENSG00000119844"
"647","ENSG00000147421"
"648","ENSG00000198804"
"649","ENSG00000172057"
"650","ENSG00000241878"
"651","ENSG00000134352"
"652","ENSG00000071282"
"653","ENSG00000142065"
"654","ENSG00000008869"
"655","ENSG00000160221"
"656","ENSG00000120262"
"657","ENSG00000154305"
"658","ENSG00000151135"
"659","ENSG00000082996"
"660","ENSG00000275793"
"661","ENSG00000182473"
"662","ENSG00000119900"
"663","ENSG00000241484"
"664","ENSG00000015171"
"665","ENSG00000277775"
"666","ENSG00000172992"
"667","ENSG00000077157"
"668","ENSG00000159873"
"669","ENSG00000180370"
"670","ENSG00000092847"
"671","ENSG00000168781"
"672","ENSG00000186329"
"673","ENSG00000112200"
"674","ENSG00000234058"
"675","ENSG00000179841"
"676","ENSG00000095585"
"677","ENSG00000065809"
"678","ENSG00000177917"
"679","ENSG00000104723"
"680","ENSG00000189241"
"681","ENSG00000142937"
"682","ENSG00000100554"
"683","ENSG00000147526"
"684","ENSG00000077235"
"685","ENSG00000278705"
"686","ENSG00000080546"
"687","ENSG00000189195"
"688","ENSG00000181555"
"689","ENSG00000118680"
"690","ENSG00000119938"
"691","ENSG00000272325"
"692","ENSG00000178229"
"693","ENSG00000189266"
"694","ENSG00000198040"
"695","ENSG00000049449"
"696","ENSG00000115380"
"697","ENSG00000205176"
"698","ENSG00000107282"
"699","ENSG00000144674"
"700","ENSG00000115594"
"701","ENSG00000001630"
"702","ENSG00000126787"
"703","ENSG00000197837"
"704","ENSG00000162670"
"705","ENSG00000254999"
"706","ENSG00000090863"
"707","ENSG00000184677"
"708","ENSG00000129595"
"709","ENSG00000213639"
"710","ENSG00000138592"
"711","ENSG00000135111"
"712","ENSG00000169242"
